Case Number,Date of Crash,Crash Severity,Longitude,Latitude
20251463615,20250113,Property Damage Only,-93.3586841968,41.4430789254
20251463625,20250114,Property Damage Only,-91.3859782999,40.6303512905
20251463628,20250114,Property Damage Only,-90.4894031757,42.0536065281
20251463631,20250113,Property Damage Only,-93.7848867026,42.4710776333
20251463633,20250110,Property Damage Only,-92.5940726939,41.0119142199
20251463659,20250113,Property Damage Only,-94.1063758393,41.8233781496
20251463680,20250114,Property Damage Only,-91.5091260289,41.9250194524
20251463686,20250109,Property Damage Only,-94.4927630892,41.6275766246
20251463695,20250111,Property Damage Only,-92.0651440844,41.5375510443
20251463704,20250113,Property Damage Only,-92.993581874,41.7028060692
20251463713,20250113,Property Damage Only,-93.0127702117,41.3067300923
20251463723,20250114,Suspected Minor Injury Crash,-91.6858290065,41.7090542546
20251463740,20250114,Property Damage Only,-90.652656149,42.1652852937
20251463741,20250111,Property Damage Only,-92.4660446483,42.4443328493
20251463742,20250114,Property Damage Only,-94.1781150639,42.5354869916
20251463744,20250114,Property Damage Only,-93.2018764161,42.9835696007
20251463748,20250114,Property Damage Only,-93.367514991,41.5886017357
20251463750,20250114,Property Damage Only,-93.9484955843,42.0378155273
20251463762,20250111,Property Damage Only,-93.6986919683,42.0608454716
20251463763,20250114,Property Damage Only,-93.5655411213,41.7318225466
20251463770,20250114,Property Damage Only,-90.6751253292,41.7311700403
20251463789,20250114,Property Damage Only,-96.3445077244,42.4201368794
20251463790,20250113,Property Damage Only,-93.0528945623,43.1478062563
20251463824,20250114,Property Damage Only,-94.1007723447,41.5976823105
20251463836,20250115,Property Damage Only,-91.7929838414,42.9325382143
20251463841,20250115,Property Damage Only,-93.9507939185,42.097941461
20251463844,20250107,Property Damage Only,-94.2019001438,41.5089580422
20251463846,20250113,Property Damage Only,-90.682051644,42.4915924568
20251463850,20250103,Property Damage Only,-93.0905630576,42.307495621
20251463851,20250109,Property Damage Only,-93.0156675915,42.2236100792
20251463852,20250109,Property Damage Only,-93.0649048171,42.2638508729
20251463854,20250115,Property Damage Only,-91.1585708893,41.2108451591
20251463864,20250111,Property Damage Only,-93.2608667736,42.4191893342
20251463867,20250114,Property Damage Only,-93.7037006411,41.7560989336
20251463944,20250115,Property Damage Only,-90.1819889552,42.0150271686
20251463949,20250115,Property Damage Only,-95.7626419568,41.0702553728
20251463950,20250110,Property Damage Only,-93.7637044156,41.5194944297
20251463955,20250115,Property Damage Only,-92.9274260903,42.5853604051
20251463977,20250115,Property Damage Only,-90.4775652236,42.1867015647
20251463979,20250116,Property Damage Only,-90.2440595382,41.8372418617
20251463992,20250115,Property Damage Only,-93.5087599066,41.485577822
20251464001,20250115,Property Damage Only,-93.6556468287,42.0320263707
20251464005,20250115,Property Damage Only,-93.8854176553,41.5964622402
20251464009,20250116,Property Damage Only,-93.755386079,41.0305931624
20251464011,20250115,Property Damage Only,-92.1748258497,42.7148118339
20251464022,20250115,Property Damage Only,-92.2574594459,41.0021659806
20251464023,20250115,Property Damage Only,-92.4496294221,41.0473025362
20251464033,20250115,Property Damage Only,-93.9253091994,41.5179113566
20251464040,20250116,Property Damage Only,-95.2680986917,41.7918635485
20251464042,20250116,Property Damage Only,-96.1199063226,42.8623320244
20251464044,20250115,Property Damage Only,-95.7577816279,42.5005592383
20251464048,20250108,Property Damage Only,-92.0817676139,42.6128994701
20251464081,20250115,Property Damage Only,-93.0105011477,41.3108738888
20251464089,20250116,Property Damage Only,-93.6889945751,41.7532067543
20251464091,20250101,Property Damage Only,-91.2001300264,41.3089607872
20251464107,20250113,Property Damage Only,-92.9891691235,41.3541649478
20251464120,20250108,Property Damage Only,-92.9026998473,42.5845315589
20251464121,20250110,Property Damage Only,-93.7045767152,41.4260056481
20251464128,20250115,Property Damage Only,-93.7941284727,41.607199119
20251464130,20250115,Property Damage Only,-92.3406969885,42.6786489429
20251464139,20250116,Property Damage Only,-95.0130768414,42.3651101006
20251464148,20250116,Property Damage Only,-93.7249920765,41.6009275345
20251464160,20250116,Property Damage Only,-93.8079758519,41.5435296186
20251464165,20250116,Property Damage Only,-91.1998582439,41.3379325507
20251464178,20250116,Property Damage Only,-91.3718559276,40.8161077215
20251464197,20250116,Property Damage Only,-93.5814360563,42.085132489
20251464198,20250117,Property Damage Only,-93.5650956613,42.0940224554
20251464211,20250115,Property Damage Only,-93.2605115523,43.1851620726
20251464213,20250117,Property Damage Only,-91.1881065266,41.4470216095
20251464218,20250111,Property Damage Only,-92.777609513,41.7352598308
20251464224,20250115,Property Damage Only,-91.2073046108,41.7362869426
20251464250,20250116,Property Damage Only,-90.4967289969,42.0547572693
